,Valdocraft Net Worth,k,y,f,nike,n,i,l,c,luki,bennet,flori,niki,ELIAS
,0,,870,,,,,,,,,,
,870,,960,,,,,,,,,,
,1030,,1020,,,,,,,,,,
,1065,,1180,,,,,,,,,,
,1105,,1381,,,,,,,,,,
,1100,,1650,,,,,,,,,,
,1180,,2400,,,,,,,,,,
,1200,,2560,,,,,,,,,,
,1370,,2870,,,,,,,,,,
,1590,,3260,,,,,,,,,,
,1700,0,3210,,,,,,,,,,
,2000,2,3460,,,,,,,,,,
,2130,5,4780,,,,,,,,,,
,2015,5,5316,,,,,,,,,,
,2290,6,8203,,,,,,,,,,
,3240,7,10240,,,,,,,,,,
,3657,650,6940,,,,,,,,,,
,4700,1100,7600,,,,,,,,,,
,5782,1900,9325,,,,,,,,,,
,5980,2054,9960,,0,,,,,,,,
,6241,2195,11490,,10,,,,,,,,
,6300,2305,18980,,20,,,,,,,,
,6340,2341,24300,,180,,,,,,,,
,6390,2395,24020,,360,,,,,,,,
,6675,2440,25920,,415,,,,,,,,
,8350,2500,26970,,965,,,,,,,,
,8790,2640,29855,,985,,,,,,,,
,9890,2700,36010,,1050,,,,,,,,
,11950,2790,40050,,1095,,,,,,,,
,12100,3440,42300,,1120,,,,,,,,
,12970,4400,45805,,1165,,,,,,,,
,13100,4470,47000,,1205,,,,,,,,
,13400,4550,48400,,1230,,,,,,,,
,13600,4610,51200,,1260,0,,,,,,,
,14450,4655,51940,0,1280,2,,,,,,,
,13700,5500,54000,900,1650,1120,,,,,,,
,15070,5570,59080,920,1760,2300,0,,,,,,
,16500,6070,64000,930,2600,3500,670,,,,,,
,17900,7250,68500,950,3300,5000,1200,,,,,,
,18100,7300,70500,960,3360,5040,1300,,,,,,
,22500,7500,73600,970,3400,5100,1500,,,,,,
,22750,7600,75850,980,3460,5150,3700,,,,,,
,23500,7650,77800,990,3500,5200,4000,,,,,,
,24000,7800,78600,1000,3600,5600,4500,,,,,,
,25100,7900,81000,1010,3600,5750,5300,,,,,,
,25900,8200,81900,1010,3640,5900,6000,,,,,,
,26300,8300,84400,1020,3700,5950,6020,,,,,,
,26500,8400,92000,1030,3750,5980,6050,,,,,,
,29900,8450,93900,1040,4500,6300,6250,,,,,,
,30600,8500,96000,1050,5800,6350,6500,,,,,,
